"Plot Title: SOSTPRO"
"#","Date Time, GMT-07:00","Intensity, Lux (LGR S/N: 10800794, SEN S/N: 10800794, LBL: li)","Max: Temperature, °C (LGR S/N: 10800794)","Min: Temperature, °C (LGR S/N: 10800794)","Avg: Temperature, °C (LGR S/N: 10800794)","Bad Battery (LGR S/N: 10800794)","End Of File (LGR S/N: 10800794)"
1,05/29/18 12:00:00 PM,28933.5,12.207,12.207,12.207,,
2,05/29/18 01:00:00 PM,13777.9,14.038,14.038,14.038,,
3,05/29/18 02:00:00 PM,7233.4,12.594,12.594,12.594,,
4,05/29/18 03:00:00 PM,9644.5,13.076,13.076,13.076,,
5,05/29/18 04:00:00 PM,7233.4,13.750,13.750,13.750,,
6,05/29/18 05:00:00 PM,6544.5,13.173,13.173,13.173,,
7,05/29/18 06:00:00 PM,4477.8,12.883,12.883,12.883,,
8,05/29/18 07:00:00 PM,1270.1,10.455,10.455,10.455,,
9,05/29/18 08:00:00 PM,882.6,9.866,9.866,9.866,,
10,05/29/18 09:00:00 PM,96.9,8.182,8.182,8.182,,
11,05/29/18 10:00:00 PM,0.0,6.775,6.775,6.775,,
12,05/29/18 11:00:00 PM,0.0,6.674,6.674,6.674,,
13,05/30/18 12:00:00 AM,0.0,4.311,4.311,4.311,,
14,05/30/18 01:00:00 AM,0.0,4.311,4.311,4.311,,
15,05/30/18 02:00:00 AM,0.0,5.962,5.962,5.962,,
16,05/30/18 03:00:00 AM,0.0,6.674,6.674,6.674,,
17,05/30/18 04:00:00 AM,0.0,6.471,6.471,6.471,,
18,05/30/18 05:00:00 AM,0.0,6.370,6.370,6.370,,
19,05/30/18 06:00:00 AM,602.8,6.268,6.268,6.268,,
20,05/30/18 07:00:00 AM,1636.1,6.674,6.674,6.674,,
21,05/30/18 08:00:00 AM,7577.8,8.182,8.182,8.182,,
22,05/30/18 09:00:00 AM,24800.2,11.334,11.334,11.334,,
23,05/30/18 10:00:00 AM,10677.8,10.259,10.259,10.259,,
24,05/30/18 11:00:00 AM,2755.6,9.472,9.472,9.472,,
25,05/30/18 12:00:00 PM,9300.1,12.207,12.207,12.207,,
26,05/30/18 01:00:00 PM,12400.1,12.690,12.690,12.690,,
27,05/30/18 02:00:00 PM,4650.0,11.528,11.528,11.528,,
28,05/30/18 03:00:00 PM,5338.9,13.173,13.173,13.173,,
29,05/30/18 04:00:00 PM,4305.6,14.134,14.134,14.134,,
30,05/30/18 05:00:00 PM,1894.5,12.980,12.980,12.980,,
31,05/30/18 06:00:00 PM,4133.4,13.846,13.846,13.846,,
32,05/30/18 07:00:00 PM,2755.6,12.207,12.207,12.207,,
33,05/30/18 08:00:00 PM,1636.1,10.846,10.846,10.846,,
34,05/30/18 09:00:00 PM,183.0,8.282,8.282,8.282,,
35,05/30/18 10:00:00 PM,0.0,6.370,6.370,6.370,,
36,05/30/18 11:00:00 PM,0.0,5.347,5.347,5.347,,
37,05/31/18 12:00:00 AM,0.0,4.519,4.519,4.519,,
38,05/31/18 01:00:00 AM,0.0,4.831,4.831,4.831,,
39,05/31/18 02:00:00 AM,0.0,4.727,4.727,4.727,,
40,05/31/18 03:00:00 AM,0.0,3.998,3.998,3.998,,
41,05/31/18 04:00:00 AM,0.0,3.788,3.788,3.788,,
42,05/31/18 05:00:00 AM,32.3,3.893,3.893,3.893,,
43,05/31/18 06:00:00 AM,2066.7,4.623,4.623,4.623,,
44,05/31/18 07:00:00 AM,5511.1,7.179,7.179,7.179,,
45,05/31/18 08:00:00 AM,11022.3,10.259,10.259,10.259,,
46,05/31/18 09:00:00 AM,17222.3,12.690,12.690,12.690,,
47,05/31/18 10:00:00 AM,33066.9,14.421,14.421,14.421,,
48,05/31/18 11:00:00 AM,28933.5,17.950,17.950,17.950,,
49,05/31/18 12:00:00 PM,18600.1,14.230,14.230,14.230,,
50,05/31/18 01:00:00 PM,9644.5,13.558,13.558,13.558,,
51,05/31/18 02:00:00 PM,2755.6,12.110,12.110,12.110,,
52,05/31/18 03:00:00 PM,4994.5,12.207,12.207,12.207,,
53,05/31/18 04:00:00 PM,6544.5,12.401,12.401,12.401,,
54,05/31/18 05:00:00 PM,1980.6,12.207,12.207,12.207,,
55,05/31/18 06:00:00 PM,5166.7,12.013,12.013,12.013,,
56,05/31/18 07:00:00 PM,4133.4,12.497,12.497,12.497,,
57,05/31/18 08:00:00 PM,1356.3,10.553,10.553,10.553,,
58,05/31/18 09:00:00 PM,258.3,9.176,9.176,9.176,,
59,05/31/18 10:00:00 PM,0.0,6.471,6.471,6.471,,
60,05/31/18 11:00:00 PM,0.0,4.934,4.934,4.934,,
61,06/01/18 12:00:00 AM,0.0,4.519,4.519,4.519,,
62,06/01/18 01:00:00 AM,0.0,4.623,4.623,4.623,,
63,06/01/18 02:00:00 AM,0.0,5.037,5.037,5.037,,
64,06/01/18 03:00:00 AM,0.0,4.934,4.934,4.934,,
65,06/01/18 04:00:00 AM,0.0,5.244,5.244,5.244,,
66,06/01/18 05:00:00 AM,32.3,5.037,5.037,5.037,,
67,06/01/18 06:00:00 AM,871.9,4.934,4.934,4.934,,
68,06/01/18 07:00:00 AM,2755.6,7.682,7.682,7.682,,
69,06/01/18 08:00:00 AM,3444.5,7.582,7.582,7.582,,
70,06/01/18 09:00:00 AM,4305.6,8.282,8.282,8.282,,
71,06/01/18 10:00:00 AM,8611.2,10.553,10.553,10.553,,
72,06/01/18 11:00:00 AM,5166.7,10.259,10.259,10.259,,
73,06/01/18 12:00:00 PM,4477.8,9.571,9.571,9.571,,
74,06/01/18 01:00:00 PM,19977.9,11.334,11.334,11.334,,
75,06/01/18 02:00:00 PM,2325.0,10.846,10.846,10.846,,
76,06/01/18 03:00:00 PM,3788.9,11.236,11.236,11.236,,
77,06/01/18 04:00:00 PM,2755.6,11.236,11.236,11.236,,
78,06/01/18 05:00:00 PM,2238.9,11.041,11.041,11.041,,
79,06/01/18 06:00:00 PM,7233.4,11.528,11.528,11.528,,
80,06/01/18 07:00:00 PM,2927.8,10.748,10.748,10.748,,
81,06/01/18 08:00:00 PM,721.2,9.768,9.768,9.768,,
