"Plot Title: Hour4"
"#","Date Time, GMT-07:00","Intensity, Lux (LGR S/N: 1266540, SEN S/N: 1266540, LBL: light)","Max: Temperature, °C (LGR S/N: 1266540)","Min: Temperature, °C (LGR S/N: 1266540)","Avg: Temperature, °C (LGR S/N: 1266540)","Bad Battery (LGR S/N: 1266540)","Coupler Attached (LGR S/N: 1266540)","Host Connected (LGR S/N: 1266540)","Stopped (LGR S/N: 1266540)","End Of File (LGR S/N: 1266540)"
1,05/10/18 12:00:00 PM,635.1,19.758,19.758,19.758,,,,,
2,05/10/18 01:00:00 PM,613.5,13.076,13.076,13.076,,,,,
3,05/10/18 02:00:00 PM,75.3,12.207,12.207,12.207,,,,,
4,05/10/18 03:00:00 PM,172.2,15.569,15.569,15.569,,,,,
5,05/10/18 04:00:00 PM,226.0,9.275,9.275,9.275,,,,,
6,05/10/18 05:00:00 PM,96.9,9.077,9.077,9.077,,,,,
7,05/10/18 06:00:00 PM,226.0,8.879,8.879,8.879,,,,,
8,05/10/18 07:00:00 PM,96.9,8.481,8.481,8.481,,,,,
9,05/10/18 08:00:00 PM,0.0,8.282,8.282,8.282,,,,,
10,05/10/18 09:00:00 PM,0.0,8.082,8.082,8.082,,,,,
11,05/10/18 10:00:00 PM,0.0,7.983,7.983,7.983,,,,,
12,05/10/18 11:00:00 PM,0.0,7.782,7.782,7.782,,,,,
13,05/11/18 12:00:00 AM,0.0,7.582,7.582,7.582,,,,,
14,05/11/18 01:00:00 AM,0.0,7.481,7.481,7.481,,,,,
15,05/11/18 02:00:00 AM,0.0,7.481,7.481,7.481,,,,,
16,05/11/18 03:00:00 AM,0.0,7.381,7.381,7.381,,,,,
17,05/11/18 04:00:00 AM,0.0,7.381,7.381,7.381,,,,,
18,05/11/18 05:00:00 AM,0.0,7.381,7.381,7.381,,,,,
19,05/11/18 06:00:00 AM,0.0,7.280,7.280,7.280,,,,,
20,05/11/18 07:00:00 AM,10.8,7.179,7.179,7.179,,,,,
21,05/11/18 08:00:00 AM,64.6,7.280,7.280,7.280,,,,,
22,05/11/18 09:00:00 AM,301.4,7.682,7.682,7.682,,,,,
23,05/11/18 10:00:00 AM,215.3,7.983,7.983,7.983,,,,,
24,05/11/18 11:00:00 AM,215.3,8.182,8.182,8.182,,,,,
25,05/11/18 12:00:00 PM,290.6,8.481,8.481,8.481,,,,,
26,05/11/18 01:00:00 PM,473.6,9.176,9.176,9.176,,,,,
27,05/11/18 02:00:00 PM,236.8,9.571,9.571,9.571,,,,,
28,05/11/18 03:00:00 PM,2066.7,11.139,11.139,11.139,,,,,
29,05/11/18 04:00:00 PM,1270.1,12.013,12.013,12.013,,,,,
30,05/11/18 05:00:00 PM,1550.0,12.304,12.304,12.304,,,,,
