"Plot Title: Hour2"
"#","Date Time, GMT-07:00","Intensity, Lux (LGR S/N: 1266561, SEN S/N: 1266561, LBL: light)","Max: Temperature, °C (LGR S/N: 1266561)","Min: Temperature, °C (LGR S/N: 1266561)","Avg: Temperature, °C (LGR S/N: 1266561)","Coupler Attached (LGR S/N: 1266561)","Host Connected (LGR S/N: 1266561)","Stopped (LGR S/N: 1266561)","End Of File (LGR S/N: 1266561)"
1,05/10/18 12:00:00 PM,322.9,19.853,19.853,19.853,,,,
2,05/10/18 01:00:00 PM,570.5,12.110,12.110,12.110,,,,
3,05/10/18 02:00:00 PM,150.7,12.207,12.207,12.207,,,,
4,05/10/18 03:00:00 PM,226.0,16.046,16.046,16.046,,,,
5,05/10/18 04:00:00 PM,5166.7,13.942,13.942,13.942,,,,
6,05/10/18 05:00:00 PM,1894.5,10.748,10.748,10.748,,,,
7,05/10/18 06:00:00 PM,3272.2,11.916,11.916,11.916,,,,
8,05/10/18 07:00:00 PM,1636.1,10.161,10.161,10.161,,,,
9,05/10/18 08:00:00 PM,839.6,9.571,9.571,9.571,,,,
10,05/10/18 09:00:00 PM,0.0,8.680,8.680,8.680,,,,
11,05/10/18 10:00:00 PM,0.0,7.481,7.481,7.481,,,,
12,05/10/18 11:00:00 PM,0.0,6.877,6.877,6.877,,,,
13,05/11/18 12:00:00 AM,0.0,6.370,6.370,6.370,,,,
14,05/11/18 01:00:00 AM,0.0,6.268,6.268,6.268,,,,
15,05/11/18 02:00:00 AM,0.0,6.775,6.775,6.775,,,,
16,05/11/18 03:00:00 AM,0.0,6.674,6.674,6.674,,,,
17,05/11/18 04:00:00 AM,0.0,7.079,7.079,7.079,,,,
18,05/11/18 05:00:00 AM,0.0,6.573,6.573,6.573,,,,
19,05/11/18 06:00:00 AM,667.4,5.757,5.757,5.757,,,,
20,05/11/18 07:00:00 AM,2755.6,6.877,6.877,6.877,,,,
21,05/11/18 08:00:00 AM,4822.3,8.978,8.978,8.978,,,,
22,05/11/18 09:00:00 AM,9300.1,11.722,11.722,11.722,,,,
23,05/11/18 10:00:00 AM,5511.1,11.722,11.722,11.722,,,,
24,05/11/18 11:00:00 AM,7233.4,13.654,13.654,13.654,,,,
25,05/11/18 12:00:00 PM,12400.1,15.569,15.569,15.569,,,,
26,05/11/18 01:00:00 PM,7233.4,15.282,15.282,15.282,,,,
27,05/11/18 02:00:00 PM,15155.7,22.046,22.046,22.046,,,,
28,05/11/18 03:00:00 PM,27555.7,27.370,27.370,27.370,,,,
29,05/11/18 04:00:00 PM,24800.2,23.581,23.581,23.581,,,,
30,05/11/18 05:00:00 PM,13089.0,18.711,18.711,18.711,,,,
31,05/11/18 06:00:00 PM,22044.6,20.615,20.615,20.615,,,,
32,05/11/18 07:00:00 PM,1162.5,14.421,14.421,14.421,,,,
33,05/11/18 08:00:00 PM,538.2,12.207,12.207,12.207,,,,
34,05/11/18 09:00:00 PM,0.0,10.846,10.846,10.846,,,,
35,05/11/18 10:00:00 PM,0.0,10.063,10.063,10.063,,,,
36,05/11/18 11:00:00 PM,0.0,9.768,9.768,9.768,,,,
37,05/12/18 12:00:00 AM,0.0,9.275,9.275,9.275,,,,
38,05/12/18 01:00:00 AM,0.0,8.978,8.978,8.978,,,,
39,05/12/18 02:00:00 AM,0.0,8.680,8.680,8.680,,,,
40,05/12/18 03:00:00 AM,0.0,8.581,8.581,8.581,,,,
41,05/12/18 04:00:00 AM,0.0,8.382,8.382,8.382,,,,
42,05/12/18 05:00:00 AM,0.0,8.182,8.182,8.182,,,,
43,05/12/18 06:00:00 AM,301.4,8.082,8.082,8.082,,,,
44,05/12/18 07:00:00 AM,2755.6,9.176,9.176,9.176,,,,
45,05/12/18 08:00:00 AM,3444.5,11.041,11.041,11.041,,,,
46,05/12/18 09:00:00 AM,3788.9,13.750,13.750,13.750,,,,
47,05/12/18 10:00:00 AM,57867.0,19.662,19.662,19.662,,,,
48,05/12/18 11:00:00 AM,6200.0,16.523,16.523,16.523,,,,
49,05/12/18 12:00:00 PM,27555.7,20.138,20.138,20.138,,,,
50,05/12/18 01:00:00 PM,5511.1,19.948,19.948,19.948,,,,
51,05/12/18 02:00:00 PM,11711.2,28.258,28.258,28.258,,,,
52,05/12/18 03:00:00 PM,27555.7,33.535,33.535,33.535,,,,
