"Plot Title: Hour4"
"#","Date Time, GMT-07:00","Intensity, Lux (LGR S/N: 1266541, SEN S/N: 1266541, LBL: light)","Max: Temperature, °C (LGR S/N: 1266541)","Min: Temperature, °C (LGR S/N: 1266541)","Avg: Temperature, °C (LGR S/N: 1266541)","Coupler Attached (LGR S/N: 1266541)","Host Connected (LGR S/N: 1266541)","Stopped (LGR S/N: 1266541)","End Of File (LGR S/N: 1266541)"
1,05/22/18 12:00:00 PM,32.3,20.424,20.424,20.424,,,,
2,05/22/18 01:00:00 PM,570.5,27.272,27.272,27.272,,,,
3,05/22/18 02:00:00 PM,0.0,28.655,28.655,28.655,,,,
4,05/22/18 03:00:00 PM,0.0,31.268,31.268,31.268,,,,
5,05/22/18 04:00:00 PM,0.0,29.953,29.953,29.953,,,,
6,05/22/18 05:00:00 PM,0.0,26.879,26.879,26.879,,,,
7,05/22/18 06:00:00 PM,0.0,24.641,24.641,24.641,,,,
8,05/22/18 07:00:00 PM,0.0,23.292,23.292,23.292,,,,
9,05/22/18 08:00:00 PM,0.0,22.238,22.238,22.238,,,,
10,05/22/18 09:00:00 PM,0.0,21.569,21.569,21.569,,,,
11,05/22/18 10:00:00 PM,0.0,20.996,20.996,20.996,,,,
12,05/22/18 11:00:00 PM,0.0,20.519,20.519,20.519,,,,
13,05/23/18 12:00:00 AM,0.0,20.138,20.138,20.138,,,,
14,05/23/18 01:00:00 AM,0.0,19.758,19.758,19.758,,,,
15,05/23/18 02:00:00 AM,0.0,19.377,19.377,19.377,,,,
16,05/23/18 03:00:00 AM,0.0,19.187,19.187,19.187,,,,
17,05/23/18 04:00:00 AM,0.0,18.901,18.901,18.901,,,,
18,05/23/18 05:00:00 AM,0.0,18.711,18.711,18.711,,,,
19,05/23/18 06:00:00 AM,0.0,18.521,18.521,18.521,,,,
20,05/23/18 07:00:00 AM,0.0,18.331,18.331,18.331,,,,
21,05/23/18 08:00:00 AM,0.0,18.236,18.236,18.236,,,,
22,05/23/18 09:00:00 AM,0.0,18.236,18.236,18.236,,,,
23,05/23/18 10:00:00 AM,21.5,21.760,21.760,21.760,,,,
24,05/23/18 11:00:00 AM,785.8,29.152,29.152,29.152,,,,
25,05/23/18 12:00:00 PM,1087.2,29.853,29.853,29.853,,,,
26,05/23/18 01:00:00 PM,1377.8,25.805,25.805,25.805,,,,
27,05/23/18 02:00:00 PM,1302.4,28.357,28.357,28.357,,,,
28,05/23/18 03:00:00 PM,75.3,30.054,30.054,30.054,,,,
29,05/23/18 04:00:00 PM,43.1,28.357,28.357,28.357,,,,
30,05/23/18 05:00:00 PM,43.1,27.272,27.272,27.272,,,,
31,05/23/18 06:00:00 PM,0.0,28.060,28.060,28.060,,,,
32,05/23/18 07:00:00 PM,0.0,27.567,27.567,27.567,,,,
