"Plot Title: Hour10"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10800793, SEN S/N: 10800793, LBL: Temp)","Intensity, Lux (LGR S/N: 10800793, SEN S/N: 10800793, LBL: Light)","Coupler Attached (LGR S/N: 10800793)","Host Connected (LGR S/N: 10800793)","Stopped (LGR S/N: 10800793)","End Of File (LGR S/N: 10800793)"
1,05/22/18 12:00:00 PM,20.805,43.1,,,,
2,05/22/18 01:00:00 PM,24.545,656.6,,,,
3,05/22/18 02:00:00 PM,28.754,10.8,,,,
4,05/22/18 03:00:00 PM,31.370,0.0,,,,
5,05/22/18 04:00:00 PM,30.054,0.0,,,,
6,05/22/18 05:00:00 PM,27.173,0.0,,,,
7,05/22/18 06:00:00 PM,25.028,0.0,,,,
8,05/22/18 07:00:00 PM,23.677,0.0,,,,
9,05/22/18 08:00:00 PM,22.621,0.0,,,,
10,05/22/18 09:00:00 PM,21.951,0.0,,,,
11,05/22/18 10:00:00 PM,21.378,0.0,,,,
12,05/22/18 11:00:00 PM,20.901,0.0,,,,
13,05/23/18 12:00:00 AM,20.424,0.0,,,,
14,05/23/18 01:00:00 AM,20.043,0.0,,,,
15,05/23/18 02:00:00 AM,19.758,0.0,,,,
16,05/23/18 03:00:00 AM,19.472,0.0,,,,
17,05/23/18 04:00:00 AM,19.282,0.0,,,,
18,05/23/18 05:00:00 AM,18.996,0.0,,,,
19,05/23/18 06:00:00 AM,18.806,0.0,,,,
20,05/23/18 07:00:00 AM,18.616,0.0,,,,
21,05/23/18 08:00:00 AM,18.616,0.0,,,,
22,05/23/18 09:00:00 AM,18.521,0.0,,,,
23,05/23/18 10:00:00 AM,21.282,10.8,,,,
24,05/23/18 11:00:00 AM,30.356,118.4,,,,
25,05/23/18 12:00:00 PM,30.760,301.4,,,,
26,05/23/18 01:00:00 PM,26.977,333.7,,,,
27,05/23/18 02:00:00 PM,28.159,721.2,,,,
28,05/23/18 03:00:00 PM,30.154,129.2,,,,
29,05/23/18 04:00:00 PM,28.655,86.1,,,,
30,05/23/18 05:00:00 PM,27.370,75.3,,,,
31,05/23/18 06:00:00 PM,28.258,0.0,,,,
32,05/23/18 07:00:00 PM,27.764,0.0,,,,
33,05/23/18 08:00:00 PM,26.585,0.0,,,,
