"Plot Title: Hour2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 1262147, SEN S/N: 1262147)","Intensity, Lux (LGR S/N: 1262147, SEN S/N: 1262147)","Coupler Attached (LGR S/N: 1262147)","Host Connected (LGR S/N: 1262147)","Stopped (LGR S/N: 1262147)","End Of File (LGR S/N: 1262147)"
1,05/22/18 12:00:00 PM,20.329,139.9,,,,
2,05/22/18 01:00:00 PM,24.738,4477.8,,,,
3,05/22/18 02:00:00 PM,28.754,32.3,,,,
4,05/22/18 03:00:00 PM,30.862,0.0,,,,
5,05/22/18 04:00:00 PM,29.552,0.0,,,,
6,05/22/18 05:00:00 PM,26.585,0.0,,,,
7,05/22/18 06:00:00 PM,24.448,0.0,,,,
8,05/22/18 07:00:00 PM,23.004,0.0,,,,
9,05/22/18 08:00:00 PM,22.142,0.0,,,,
10,05/22/18 09:00:00 PM,21.378,0.0,,,,
11,05/22/18 10:00:00 PM,20.901,0.0,,,,
12,05/22/18 11:00:00 PM,20.424,0.0,,,,
13,05/23/18 12:00:00 AM,19.948,0.0,,,,
14,05/23/18 01:00:00 AM,19.567,0.0,,,,
15,05/23/18 02:00:00 AM,19.282,0.0,,,,
16,05/23/18 03:00:00 AM,19.092,0.0,,,,
17,05/23/18 04:00:00 AM,18.806,0.0,,,,
18,05/23/18 05:00:00 AM,18.616,0.0,,,,
19,05/23/18 06:00:00 AM,18.426,0.0,,,,
20,05/23/18 07:00:00 AM,18.236,0.0,,,,
21,05/23/18 08:00:00 AM,18.140,0.0,,,,
22,05/23/18 09:00:00 AM,18.140,0.0,,,,
23,05/23/18 10:00:00 AM,21.664,96.9,,,,
24,05/23/18 11:00:00 AM,28.754,64.6,,,,
25,05/23/18 12:00:00 PM,35.864,28933.5,,,,
26,05/23/18 01:00:00 PM,24.545,775.0,,,,
27,05/23/18 02:00:00 PM,22.429,818.1,,,,
28,05/23/18 03:00:00 PM,21.951,5166.7,,,,
29,05/23/18 04:00:00 PM,22.717,5166.7,,,,
30,05/23/18 05:00:00 PM,23.292,6200.0,,,,
