"Plot Title: TL005"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 1266565, SEN S/N: 1266565, LBL: temp)","Intensity, Lux (LGR S/N: 1266565, SEN S/N: 1266565, LBL: li)","Max: Temperature, °C (LGR S/N: 1266565)","Min: Temperature, °C (LGR S/N: 1266565)","Avg: Temperature, °C (LGR S/N: 1266565)","Bad Battery (LGR S/N: 1266565)","Coupler Attached (LGR S/N: 1266565)","Host Connected (LGR S/N: 1266565)","Stopped (LGR S/N: 1266565)","End Of File (LGR S/N: 1266565)"
1,05/22/18 12:00:00 PM,20.329,150.7,20.329,20.329,20.329,,,,,
2,05/22/18 01:00:00 PM,23.292,107.6,23.292,23.292,23.292,,,,,
3,05/22/18 02:00:00 PM,29.053,43.1,29.053,29.053,29.053,,,,,
4,05/22/18 03:00:00 PM,30.862,0.0,30.862,30.862,30.862,,,,,
5,05/22/18 04:00:00 PM,29.352,0.0,29.352,29.352,29.352,,,,,
6,05/22/18 05:00:00 PM,26.585,0.0,26.585,26.585,26.585,,,,,
7,05/22/18 06:00:00 PM,24.545,0.0,24.545,24.545,24.545,,,,,
8,05/22/18 07:00:00 PM,23.292,0.0,23.292,23.292,23.292,,,,,
9,05/22/18 08:00:00 PM,22.333,0.0,22.333,22.333,22.333,,,,,
10,05/22/18 09:00:00 PM,21.664,0.0,21.664,21.664,21.664,,,,,
11,05/22/18 10:00:00 PM,21.091,0.0,21.091,21.091,21.091,,,,,
12,05/22/18 11:00:00 PM,20.615,0.0,20.615,20.615,20.615,,,,,
13,05/23/18 12:00:00 AM,20.138,0.0,20.138,20.138,20.138,,,,,
14,05/23/18 01:00:00 AM,19.853,0.0,19.853,19.853,19.853,,,,,
15,05/23/18 02:00:00 AM,19.472,0.0,19.472,19.472,19.472,,,,,
16,05/23/18 03:00:00 AM,19.282,0.0,19.282,19.282,19.282,,,,,
17,05/23/18 04:00:00 AM,18.996,0.0,18.996,18.996,18.996,,,,,
18,05/23/18 05:00:00 AM,18.806,0.0,18.806,18.806,18.806,,,,,
19,05/23/18 06:00:00 AM,18.616,0.0,18.616,18.616,18.616,,,,,
20,05/23/18 07:00:00 AM,18.521,0.0,18.521,18.521,18.521,,,,,
21,05/23/18 08:00:00 AM,18.426,0.0,18.426,18.426,18.426,,,,,
22,05/23/18 09:00:00 AM,18.331,0.0,18.331,18.331,18.331,,,,,
23,05/23/18 10:00:00 AM,21.760,86.1,21.760,21.760,21.760,,,,,
24,05/23/18 11:00:00 AM,29.552,193.8,29.552,29.552,29.552,,,,,
25,05/23/18 12:00:00 PM,31.574,3961.1,31.574,31.574,31.574,,,,,
26,05/23/18 01:00:00 PM,24.158,172.2,24.158,24.158,24.158,,,,,
27,05/23/18 02:00:00 PM,22.525,215.3,22.525,22.525,22.525,,,,,
28,05/23/18 03:00:00 PM,13.365,3100.0,13.365,13.365,13.365,,,,,
29,05/23/18 04:00:00 PM,13.654,20666.8,13.654,13.654,13.654,,,,,
30,05/23/18 05:00:00 PM,13.846,2325.0,13.846,13.846,13.846,,,,,
31,05/23/18 06:00:00 PM,14.613,5511.1,14.613,14.613,14.613,,,,,
32,05/23/18 07:00:00 PM,13.846,1550.0,13.846,13.846,13.846,,,,,
33,05/23/18 08:00:00 PM,13.365,775.0,13.365,13.365,13.365,,,,,
34,05/23/18 09:00:00 PM,12.980,32.3,12.980,12.980,12.980,,,,,
35,05/23/18 10:00:00 PM,12.594,0.0,12.594,12.594,12.594,,,,,
36,05/23/18 11:00:00 PM,12.207,0.0,12.207,12.207,12.207,,,,,
37,05/24/18 12:00:00 AM,11.819,0.0,11.819,11.819,11.819,,,,,
38,05/24/18 01:00:00 AM,11.528,0.0,11.528,11.528,11.528,,,,,
39,05/24/18 02:00:00 AM,11.334,0.0,11.334,11.334,11.334,,,,,
40,05/24/18 03:00:00 AM,11.139,0.0,11.139,11.139,11.139,,,,,
41,05/24/18 04:00:00 AM,10.944,0.0,10.944,10.944,10.944,,,,,
42,05/24/18 05:00:00 AM,10.748,0.0,10.748,10.748,10.748,,,,,
43,05/24/18 06:00:00 AM,10.651,215.3,10.651,10.651,10.651,,,,,
44,05/24/18 07:00:00 AM,10.553,409.0,10.553,10.553,10.553,,,,,
45,05/24/18 08:00:00 AM,10.455,925.7,10.455,10.455,10.455,,,,,
46,05/24/18 09:00:00 AM,10.357,1808.3,10.357,10.357,10.357,,,,,
47,05/24/18 10:00:00 AM,10.944,15155.7,10.944,10.944,10.944,,,,,
48,05/24/18 11:00:00 AM,11.041,12400.1,11.041,11.041,11.041,,,,,
49,05/24/18 12:00:00 PM,11.625,37200.2,11.625,11.625,11.625,,,,,
50,05/24/18 01:00:00 PM,11.625,6544.5,11.625,11.625,11.625,,,,,
51,05/24/18 02:00:00 PM,11.916,8266.7,11.916,11.916,11.916,,,,,
52,05/24/18 03:00:00 PM,11.916,5338.9,11.916,11.916,11.916,,,,,
53,05/24/18 04:00:00 PM,12.110,4133.4,12.110,12.110,12.110,,,,,
54,05/24/18 05:00:00 PM,12.304,2583.4,12.304,12.304,12.304,,,,,
55,05/24/18 06:00:00 PM,13.173,3616.7,13.173,13.173,13.173,,,,,
56,05/24/18 07:00:00 PM,12.690,1722.2,12.690,12.690,12.690,,,,,
57,05/24/18 08:00:00 PM,12.304,613.5,12.304,12.304,12.304,,,,,
58,05/24/18 09:00:00 PM,12.013,32.3,12.013,12.013,12.013,,,,,
59,05/24/18 10:00:00 PM,11.722,0.0,11.722,11.722,11.722,,,,,
60,05/24/18 11:00:00 PM,11.334,0.0,11.334,11.334,11.334,,,,,
61,05/25/18 12:00:00 AM,11.041,0.0,11.041,11.041,11.041,,,,,
62,05/25/18 01:00:00 AM,10.846,0.0,10.846,10.846,10.846,,,,,
63,05/25/18 02:00:00 AM,10.651,0.0,10.651,10.651,10.651,,,,,
64,05/25/18 03:00:00 AM,10.455,0.0,10.455,10.455,10.455,,,,,
65,05/25/18 04:00:00 AM,10.259,0.0,10.259,10.259,10.259,,,,,
66,05/25/18 05:00:00 AM,10.161,0.0,10.161,10.161,10.161,,,,,
67,05/25/18 06:00:00 AM,10.063,1065.6,10.063,10.063,10.063,,,,,
68,05/25/18 07:00:00 AM,10.161,2152.8,10.161,10.161,10.161,,,,,
69,05/25/18 08:00:00 AM,10.161,4822.3,10.161,10.161,10.161,,,,,
70,05/25/18 09:00:00 AM,10.553,9300.1,10.553,10.553,10.553,,,,,
71,05/25/18 10:00:00 AM,10.651,10333.4,10.651,10.651,10.651,,,,,
72,05/25/18 11:00:00 AM,11.236,27555.7,11.236,11.236,11.236,,,,,
73,05/25/18 12:00:00 PM,11.334,12400.1,11.334,11.334,11.334,,,,,
74,05/25/18 01:00:00 PM,11.334,7233.4,11.334,11.334,11.334,,,,,
75,05/25/18 02:00:00 PM,11.528,8611.2,11.528,11.528,11.528,,,,,
76,05/25/18 03:00:00 PM,11.722,6200.0,11.722,11.722,11.722,,,,,
77,05/25/18 04:00:00 PM,11.819,5166.7,11.819,11.819,11.819,,,,,
78,05/25/18 05:00:00 PM,11.722,2669.5,11.722,11.722,11.722,,,,,
79,05/25/18 06:00:00 PM,12.110,3100.0,12.110,12.110,12.110,,,,,
80,05/25/18 07:00:00 PM,11.722,688.9,11.722,11.722,11.722,,,,,
81,05/25/18 08:00:00 PM,11.334,635.1,11.334,11.334,11.334,,,,,
82,05/25/18 09:00:00 PM,11.041,21.5,11.041,11.041,11.041,,,,,
83,05/25/18 10:00:00 PM,10.748,0.0,10.748,10.748,10.748,,,,,
84,05/25/18 11:00:00 PM,10.357,0.0,10.357,10.357,10.357,,,,,
85,05/26/18 12:00:00 AM,9.965,0.0,9.965,9.965,9.965,,,,,
86,05/26/18 01:00:00 AM,9.669,0.0,9.669,9.669,9.669,,,,,
87,05/26/18 02:00:00 AM,9.472,0.0,9.472,9.472,9.472,,,,,
88,05/26/18 03:00:00 AM,9.176,0.0,9.176,9.176,9.176,,,,,
89,05/26/18 04:00:00 AM,9.077,0.0,9.077,9.077,9.077,,,,,
90,05/26/18 05:00:00 AM,8.978,0.0,8.978,8.978,8.978,,,,,
91,05/26/18 06:00:00 AM,8.879,495.1,8.879,8.879,8.879,,,,,
92,05/26/18 07:00:00 AM,8.879,1722.2,8.879,8.879,8.879,,,,,
93,05/26/18 08:00:00 AM,8.978,3788.9,8.978,8.978,8.978,,,,,
94,05/26/18 09:00:00 AM,8.978,2152.8,8.978,8.978,8.978,,,,,
95,05/26/18 10:00:00 AM,8.978,2583.4,8.978,8.978,8.978,,,,,
96,05/26/18 11:00:00 AM,9.768,13089.0,9.768,9.768,9.768,Logged,,,,
97,05/26/18 12:00:00 PM,9.965,10333.4,9.965,9.965,9.965,,,,,
98,05/26/18 01:00:00 PM,9.866,4994.5,9.866,9.866,9.866,,,,,
99,05/26/18 02:00:00 PM,10.259,8266.7,10.259,10.259,10.259,,,,,
100,05/26/18 03:00:00 PM,10.455,7233.4,10.455,10.455,10.455,,,,,
101,05/26/18 04:00:00 PM,10.553,4305.6,10.553,10.553,10.553,,,,,
102,05/26/18 05:00:00 PM,10.553,2497.2,10.553,10.553,10.553,,,,,
103,05/26/18 06:00:00 PM,10.748,5166.7,10.748,10.748,10.748,,,,,
104,05/26/18 07:00:00 PM,10.748,2755.6,10.748,10.748,10.748,,,,,
105,05/26/18 08:00:00 PM,10.553,1216.3,10.553,10.553,10.553,,,,,
106,05/26/18 09:00:00 PM,10.357,43.1,10.357,10.357,10.357,,,,,
107,05/26/18 10:00:00 PM,10.161,0.0,10.161,10.161,10.161,,,,,
108,05/26/18 11:00:00 PM,9.965,0.0,9.965,9.965,9.965,,,,,
109,05/27/18 12:00:00 AM,9.669,0.0,9.669,9.669,9.669,,,,,
110,05/27/18 01:00:00 AM,9.472,0.0,9.472,9.472,9.472,,,,,
111,05/27/18 02:00:00 AM,9.373,0.0,9.373,9.373,9.373,,,,,
112,05/27/18 03:00:00 AM,9.275,0.0,9.275,9.275,9.275,,,,,
113,05/27/18 04:00:00 AM,9.275,0.0,9.275,9.275,9.275,,,,,
114,05/27/18 05:00:00 AM,9.176,0.0,9.176,9.176,9.176,,,,,
115,05/27/18 06:00:00 AM,9.176,495.1,9.176,9.176,9.176,,,,,
116,05/27/18 07:00:00 AM,9.176,1636.1,9.176,9.176,9.176,,,,,
117,05/27/18 08:00:00 AM,9.275,3788.9,9.275,9.275,9.275,,,,,
118,05/27/18 09:00:00 AM,9.571,7233.4,9.571,9.571,9.571,,,,,
119,05/27/18 10:00:00 AM,9.866,5166.7,9.866,9.866,9.866,,,,,
120,05/27/18 11:00:00 AM,13.269,99200.7,13.269,13.269,13.269,,,,,
121,05/27/18 12:00:00 PM,12.690,82667.2,12.690,12.690,12.690,,,,,
122,05/27/18 01:00:00 PM,11.041,3616.7,11.041,11.041,11.041,,,,,
123,05/27/18 02:00:00 PM,11.236,2755.6,11.236,11.236,11.236,,,,,
124,05/27/18 03:00:00 PM,11.625,2669.5,11.625,11.625,11.625,,,,,
125,05/27/18 04:00:00 PM,11.916,3616.7,11.916,11.916,11.916,,,,,
126,05/27/18 05:00:00 PM,12.110,2152.8,12.110,12.110,12.110,,,,,
127,05/27/18 06:00:00 PM,12.690,3100.0,12.690,12.690,12.690,,,,,
128,05/27/18 07:00:00 PM,12.690,1550.0,12.690,12.690,12.690,,,,,
129,05/27/18 08:00:00 PM,12.304,366.0,12.304,12.304,12.304,,,,,
130,05/27/18 09:00:00 PM,12.110,43.1,12.110,12.110,12.110,,,,,
131,05/27/18 10:00:00 PM,11.819,0.0,11.819,11.819,11.819,,,,,
132,05/27/18 11:00:00 PM,11.528,0.0,11.528,11.528,11.528,,,,,
133,05/28/18 12:00:00 AM,11.236,0.0,11.236,11.236,11.236,,,,,
134,05/28/18 01:00:00 AM,11.041,0.0,11.041,11.041,11.041,,,,,
135,05/28/18 02:00:00 AM,10.748,0.0,10.748,10.748,10.748,,,,,
136,05/28/18 03:00:00 AM,10.553,0.0,10.553,10.553,10.553,,,,,
137,05/28/18 04:00:00 AM,10.357,0.0,10.357,10.357,10.357,,,,,
138,05/28/18 05:00:00 AM,10.259,0.0,10.259,10.259,10.259,,,,,
139,05/28/18 06:00:00 AM,10.161,290.6,10.161,10.161,10.161,,,,,
140,05/28/18 07:00:00 AM,9.965,839.6,9.965,9.965,9.965,,,,,
141,05/28/18 08:00:00 AM,10.063,4822.3,10.063,10.063,10.063,,,,,
142,05/28/18 09:00:00 AM,10.748,16533.4,10.748,10.748,10.748,,,,,
143,05/28/18 10:00:00 AM,10.259,4650.0,10.259,10.259,10.259,,,,,
144,05/28/18 11:00:00 AM,10.455,6544.5,10.455,10.455,10.455,,,,,
145,05/28/18 12:00:00 PM,10.651,5511.1,10.651,10.651,10.651,,,,,
146,05/28/18 01:00:00 PM,10.944,5166.7,10.944,10.944,10.944,,,,,
147,05/28/18 02:00:00 PM,11.041,5166.7,11.041,11.041,11.041,,,,,
148,05/28/18 03:00:00 PM,11.236,5338.9,11.236,11.236,11.236,,,,,
149,05/28/18 04:00:00 PM,11.431,7233.4,11.431,11.431,11.431,,,,,
150,05/28/18 05:00:00 PM,11.334,2927.8,11.334,11.334,11.334,,,,,
151,05/28/18 06:00:00 PM,11.722,4994.5,11.722,11.722,11.722,,,,,
152,05/28/18 07:00:00 PM,11.819,2497.2,11.819,11.819,11.819,,,,,
153,05/28/18 08:00:00 PM,11.431,495.1,11.431,11.431,11.431,,,,,
154,05/28/18 09:00:00 PM,11.236,43.1,11.236,11.236,11.236,,,,,
155,05/28/18 10:00:00 PM,11.041,0.0,11.041,11.041,11.041,,,,,
156,05/28/18 11:00:00 PM,10.748,0.0,10.748,10.748,10.748,,,,,
157,05/29/18 12:00:00 AM,10.455,0.0,10.455,10.455,10.455,,,,,
158,05/29/18 01:00:00 AM,10.161,0.0,10.161,10.161,10.161,,,,,
159,05/29/18 02:00:00 AM,9.965,0.0,9.965,9.965,9.965,,,,,
160,05/29/18 03:00:00 AM,9.768,0.0,9.768,9.768,9.768,,,,,
161,05/29/18 04:00:00 AM,9.669,0.0,9.669,9.669,9.669,,,,,
162,05/29/18 05:00:00 AM,9.571,0.0,9.571,9.571,9.571,,,,,
163,05/29/18 06:00:00 AM,9.472,731.9,9.472,9.472,9.472,,,,,
164,05/29/18 07:00:00 AM,9.472,1636.1,9.472,9.472,9.472,,,,,
165,05/29/18 08:00:00 AM,9.472,3961.1,9.472,9.472,9.472,,,,,
166,05/29/18 09:00:00 AM,9.373,2238.9,9.373,9.373,9.373,,,,,
167,05/29/18 10:00:00 AM,9.373,4133.4,9.373,9.373,9.373,,,,,
