"Plot Title: 20400722"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400722, SEN S/N: 20400722)","Intensity, Lux (LGR S/N: 20400722, SEN S/N: 20400722)","Host Connected (LGR S/N: 20400722)","Coupler Attached (LGR S/N: 20400722)","Stopped (LGR S/N: 20400722)","End Of File (LGR S/N: 20400722)"
1,06/26/18 02:00:00 PM,22.717,0.0,,,,
2,06/26/18 03:00:00 PM,18.806,161.5,,,,
3,06/26/18 04:00:00 PM,20.519,159823.3,,,,
4,06/26/18 05:00:00 PM,18.901,99200.7,,,,
5,06/26/18 06:00:00 PM,18.331,63378.2,,,,
6,06/26/18 07:00:00 PM,15.664,41333.6,,,,
7,06/26/18 08:00:00 PM,12.980,13089.0,,,,
8,06/26/18 09:00:00 PM,5.347,1270.1,,,,
9,06/26/18 10:00:00 PM,3.472,0.0,,,,
10,06/26/18 11:00:00 PM,3.261,0.0,,,,
11,06/27/18 12:00:00 AM,2.730,0.0,,,,
12,06/27/18 01:00:00 AM,1.764,0.0,,,,
13,06/27/18 02:00:00 AM,3.893,0.0,,,,
14,06/27/18 03:00:00 AM,3.049,0.0,,,,
15,06/27/18 04:00:00 AM,3.788,0.0,,,,
16,06/27/18 05:00:00 AM,2.088,710.4,,,,
17,06/27/18 06:00:00 AM,4.207,7233.4,,,,
18,06/27/18 07:00:00 AM,6.877,20666.8,,,,
19,06/27/18 08:00:00 AM,9.669,34444.7,,,,
20,06/27/18 09:00:00 AM,11.916,52355.9,,,,
21,06/27/18 10:00:00 AM,21.951,121245.2,,,,
22,06/27/18 11:00:00 AM,24.351,170845.6,,,,
23,06/27/18 12:00:00 PM,21.855,110223.0,,,,
24,06/27/18 01:00:00 PM,26.292,148801.0,,,,
25,06/27/18 02:00:00 PM,21.187,99200.7,,,,
26,06/27/18 03:00:00 PM,27.075,126756.4,,,,
27,06/27/18 04:00:00 PM,25.513,143289.8,,,,
28,06/27/18 05:00:00 PM,18.236,55111.5,,,,
29,06/27/18 06:00:00 PM,19.948,66133.8,,,,
30,06/27/18 07:00:00 PM,14.517,24800.2,,,,
31,06/27/18 08:00:00 PM,12.594,13089.0,,,,
32,06/27/18 09:00:00 PM,8.182,2066.7,,,,
33,06/27/18 10:00:00 PM,6.775,0.0,,,,
34,06/27/18 11:00:00 PM,4.934,0.0,,,,
35,06/28/18 12:00:00 AM,4.623,0.0,,,,
36,06/28/18 01:00:00 AM,4.519,0.0,,,,
37,06/28/18 02:00:00 AM,4.207,0.0,,,,
38,06/28/18 03:00:00 AM,3.998,0.0,,,,
39,06/28/18 04:00:00 AM,3.893,0.0,,,,
40,06/28/18 05:00:00 AM,5.141,193.8,,,,
41,06/28/18 06:00:00 AM,4.623,3100.0,,,,
42,06/28/18 07:00:00 AM,5.552,6544.5,,,,
43,06/28/18 08:00:00 AM,7.280,20666.8,,,,
44,06/28/18 09:00:00 AM,8.978,33066.9,,,,
45,06/28/18 10:00:00 AM,12.594,66133.8,,,,
46,06/28/18 11:00:00 AM,14.517,66133.8,,,,
47,06/28/18 12:00:00 PM,16.237,126756.4,,,,
48,06/28/18 01:00:00 PM,16.332,104711.8,,,,
49,06/28/18 02:00:00 PM,15.951,88178.4,,,,
50,06/28/18 03:00:00 PM,14.230,57867.0,,,,
51,06/28/18 04:00:00 PM,14.421,79911.6,,,,
52,06/28/18 05:00:00 PM,15.187,63378.2,,,,
53,06/28/18 06:00:00 PM,12.594,26178.0,,,,
54,06/28/18 07:00:00 PM,10.846,28933.5,,,,
55,06/28/18 08:00:00 PM,8.082,10677.8,,,,
56,06/28/18 09:00:00 PM,5.552,1184.0,,,,
57,06/28/18 10:00:00 PM,5.347,0.0,,,,
58,06/28/18 11:00:00 PM,5.244,0.0,,,,
59,06/29/18 12:00:00 AM,5.244,0.0,,,,
60,06/29/18 01:00:00 AM,4.934,0.0,,,,
61,06/29/18 02:00:00 AM,4.727,0.0,,,,
62,06/29/18 03:00:00 AM,5.244,0.0,,,,
63,06/29/18 04:00:00 AM,5.244,0.0,,,,
64,06/29/18 05:00:00 AM,5.347,312.2,,,,
65,06/29/18 06:00:00 AM,5.450,1044.1,,,,
66,06/29/18 07:00:00 AM,8.879,26178.0,,,,
67,06/29/18 08:00:00 AM,12.110,49600.3,,,,
68,06/29/18 09:00:00 AM,17.475,121245.2,,,,
69,06/29/18 10:00:00 AM,17.189,82667.2,,,,
70,06/29/18 11:00:00 AM,15.855,88178.4,,,,
71,06/29/18 12:00:00 PM,21.664,187379.0,,,,
72,06/29/18 01:00:00 PM,17.855,71644.9,,,,
73,06/29/18 02:00:00 PM,21.187,110223.0,,,,
74,06/29/18 03:00:00 PM,18.901,110223.0,,,,
75,06/29/18 04:00:00 PM,20.043,121245.2,,,,
76,06/29/18 05:00:00 PM,16.237,52355.9,,,,
77,06/29/18 06:00:00 PM,17.855,99200.7,,,,
78,06/29/18 07:00:00 PM,12.980,22044.6,,,,
79,06/29/18 08:00:00 PM,11.236,13777.9,,,,
80,06/29/18 09:00:00 PM,8.182,1808.3,,,,
81,06/29/18 10:00:00 PM,6.064,0.0,,,,
82,06/29/18 11:00:00 PM,5.757,0.0,,,,
83,06/30/18 12:00:00 AM,4.623,0.0,,,,
84,06/30/18 01:00:00 AM,4.415,0.0,,,,
85,06/30/18 02:00:00 AM,4.831,0.0,,,,
86,06/30/18 03:00:00 AM,5.141,0.0,,,,
87,06/30/18 04:00:00 AM,6.471,0.0,,,,
88,06/30/18 05:00:00 AM,6.775,172.2,,,,
89,06/30/18 06:00:00 AM,7.682,3100.0,,,,
90,06/30/18 07:00:00 AM,8.581,10333.4,,,,
91,06/30/18 08:00:00 AM,10.063,38578.0,,,,
92,06/30/18 09:00:00 AM,10.455,19289.0,,,,
93,06/30/18 10:00:00 AM,11.528,38578.0,,,,
94,06/30/18 11:00:00 AM,12.690,37200.2,,,,
95,06/30/18 12:00:00 PM,13.269,39955.8,,,,
96,06/30/18 01:00:00 PM,13.269,57867.0,,,,
97,06/30/18 02:00:00 PM,11.625,38578.0,,,,
98,06/30/18 03:00:00 PM,12.594,46844.8,,,,
99,06/30/18 04:00:00 PM,14.996,60622.6,,,,
100,06/30/18 05:00:00 PM,14.613,46844.8,,,,
101,06/30/18 06:00:00 PM,17.284,55111.5,,,,
102,06/30/18 07:00:00 PM,12.013,14466.8,,,,
103,06/30/18 08:00:00 PM,10.357,19977.9,,,,
104,06/30/18 09:00:00 PM,7.280,1722.2,,,,
105,06/30/18 10:00:00 PM,5.655,0.0,,,,
106,06/30/18 11:00:00 PM,5.037,0.0,,,,
107,07/01/18 12:00:00 AM,4.727,0.0,,,,
108,07/01/18 01:00:00 AM,4.311,0.0,,,,
109,07/01/18 02:00:00 AM,3.683,0.0,,,,
110,07/01/18 03:00:00 AM,2.730,0.0,,,,
111,07/01/18 04:00:00 AM,3.893,0.0,,,,
112,07/01/18 05:00:00 AM,3.472,688.9,,,,
113,07/01/18 06:00:00 AM,6.775,6544.5,,,,
114,07/01/18 07:00:00 AM,13.942,33066.9,,,,
115,07/01/18 08:00:00 AM,18.616,77156.1,,,,
116,07/01/18 09:00:00 AM,12.883,38578.0,,,,
117,07/01/18 10:00:00 AM,11.236,27555.7,,,,
118,07/01/18 11:00:00 AM,16.523,93689.5,,,,
119,07/01/18 12:00:00 PM,17.855,68889.3,,,,
120,07/01/18 01:00:00 PM,17.189,74400.5,,,,
121,07/01/18 02:00:00 PM,13.654,49600.3,,,,
122,07/01/18 03:00:00 PM,15.664,88178.4,,,,
123,07/01/18 04:00:00 PM,11.625,34444.7,,,,
124,07/01/18 05:00:00 PM,16.237,49600.3,,,,
125,07/01/18 06:00:00 PM,10.944,27555.7,,,,
126,07/01/18 07:00:00 PM,8.978,13777.9,,,,
127,07/01/18 08:00:00 PM,7.481,4305.6,,,,
128,07/01/18 09:00:00 PM,6.370,645.8,,,,
129,07/01/18 10:00:00 PM,5.860,0.0,,,,
130,07/01/18 11:00:00 PM,5.552,0.0,,,,
131,07/02/18 12:00:00 AM,5.552,0.0,,,,
132,07/02/18 01:00:00 AM,4.207,0.0,,,,
133,07/02/18 02:00:00 AM,3.893,0.0,,,,
134,07/02/18 03:00:00 AM,3.788,0.0,,,,
135,07/02/18 04:00:00 AM,2.410,0.0,,,,
136,07/02/18 05:00:00 AM,2.624,312.2,,,,
137,07/02/18 06:00:00 AM,2.410,3961.1,,,,
138,07/02/18 07:00:00 AM,3.578,10333.4,,,,
139,07/02/18 08:00:00 AM,3.893,26178.0,,,,
140,07/02/18 09:00:00 AM,3.049,20666.8,,,,
141,07/02/18 10:00:00 AM,5.037,24800.2,,,,
142,07/02/18 11:00:00 AM,5.141,23422.4,,,,
143,07/02/18 12:00:00 PM,9.669,115734.1,,,,
144,07/02/18 01:00:00 PM,10.846,126756.4,,,,
145,07/02/18 02:00:00 PM,9.077,28933.5,,,,
146,07/02/18 03:00:00 PM,10.553,63378.2,,,,
147,07/02/18 04:00:00 PM,12.401,35822.5,,,,
148,07/02/18 05:00:00 PM,16.237,198401.3,,,,
149,07/02/18 06:00:00 PM,8.282,14466.8,,,,
150,07/02/18 07:00:00 PM,7.481,11711.2,,,,
151,07/02/18 08:00:00 PM,5.244,2755.6,,,,
152,07/02/18 09:00:00 PM,5.141,2755.6,,,,
153,07/02/18 10:00:00 PM,4.831,0.0,,,,
154,07/02/18 11:00:00 PM,5.037,0.0,,,,
155,07/03/18 12:00:00 AM,5.037,0.0,,,,
156,07/03/18 01:00:00 AM,5.141,0.0,,,,
157,07/03/18 02:00:00 AM,5.141,0.0,,,,
158,07/03/18 03:00:00 AM,5.244,0.0,,,,
159,07/03/18 04:00:00 AM,4.831,0.0,,,,
160,07/03/18 05:00:00 AM,5.244,387.5,,,,
161,07/03/18 06:00:00 AM,4.415,3100.0,,,,
162,07/03/18 07:00:00 AM,7.381,14466.8,,,,
163,07/03/18 08:00:00 AM,9.077,24800.2,,,,
164,07/03/18 09:00:00 AM,9.077,30311.3,,,,
165,07/03/18 10:00:00 AM,9.176,34444.7,,,,
166,07/03/18 11:00:00 AM,13.269,74400.5,,,,
167,07/03/18 12:00:00 PM,18.711,104711.8,,,,
168,07/03/18 01:00:00 PM,20.519,126756.4,,,,
169,07/03/18 02:00:00 PM,21.282,187379.0,,,,
170,07/03/18 03:00:00 PM,24.738,209423.6,,,,
171,07/03/18 04:00:00 PM,17.665,46844.8,,,,
172,07/03/18 05:00:00 PM,18.901,46844.8,,,,
173,07/03/18 06:00:00 PM,13.558,88178.4,,,,
174,07/03/18 07:00:00 PM,14.804,10333.4,,,,
175,07/03/18 08:00:00 PM,8.978,4477.8,,,,
176,07/03/18 09:00:00 PM,8.082,1345.5,,,,
177,07/03/18 10:00:00 PM,4.623,0.0,,,,
178,07/03/18 11:00:00 PM,4.727,0.0,,,,
179,07/04/18 12:00:00 AM,5.655,0.0,,,,
180,07/04/18 01:00:00 AM,4.831,0.0,,,,
181,07/04/18 02:00:00 AM,2.624,0.0,,,,
182,07/04/18 03:00:00 AM,4.623,0.0,,,,
183,07/04/18 04:00:00 AM,1.872,0.0,,,,
184,07/04/18 05:00:00 AM,3.788,505.9,,,,
185,07/04/18 06:00:00 AM,4.934,3616.7,,,,
186,07/04/18 07:00:00 AM,13.461,22044.6,,,,
187,07/04/18 08:00:00 AM,16.618,35822.5,,,,
188,07/04/18 09:00:00 AM,19.758,132267.5,,,,
189,07/04/18 10:00:00 AM,23.100,28933.5,,,,
190,07/04/18 11:00:00 AM,23.388,49600.3,,,,
191,07/04/18 12:00:00 PM,24.158,63378.2,,,,
192,07/04/18 01:00:00 PM,26.585,104711.8,,,,
193,07/04/18 02:00:00 PM,23.388,57867.0,,,,
194,07/04/18 03:00:00 PM,25.319,143289.8,,,,
195,07/04/18 04:00:00 PM,23.100,52355.9,,,,
196,07/04/18 05:00:00 PM,30.356,143289.8,,,,
197,07/04/18 06:00:00 PM,23.004,46844.8,,,,
198,07/04/18 07:00:00 PM,19.377,22044.6,,,,
199,07/04/18 08:00:00 PM,15.760,10333.4,,,,
