"Plot Title: 20400743"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400743, SEN S/N: 20400743)","Intensity, Lux (LGR S/N: 20400743, SEN S/N: 20400743)","Coupler Attached (LGR S/N: 20400743)","Host Connected (LGR S/N: 20400743)","Stopped (LGR S/N: 20400743)","End Of File (LGR S/N: 20400743)"
1,06/26/18 02:00:00 PM,23.004,0.0,,,,
2,06/26/18 03:00:00 PM,20.615,21.5,,,,
3,06/26/18 04:00:00 PM,20.710,75.3,,,,
4,06/26/18 05:00:00 PM,17.475,0.0,,,,
5,06/26/18 06:00:00 PM,17.665,0.0,,,,
6,06/26/18 07:00:00 PM,20.424,0.0,,,,
7,06/26/18 08:00:00 PM,22.621,0.0,,,,
8,06/26/18 09:00:00 PM,23.100,0.0,,,,
9,06/26/18 10:00:00 PM,21.855,0.0,,,,
10,06/26/18 11:00:00 PM,20.138,0.0,,,,
11,06/27/18 12:00:00 AM,18.426,0.0,,,,
12,06/27/18 01:00:00 AM,16.808,0.0,,,,
13,06/27/18 02:00:00 AM,15.569,0.0,,,,
14,06/27/18 03:00:00 AM,14.421,0.0,,,,
15,06/27/18 04:00:00 AM,13.365,0.0,,,,
16,06/27/18 05:00:00 AM,12.401,0.0,,,,
17,06/27/18 06:00:00 AM,11.625,0.0,,,,
18,06/27/18 07:00:00 AM,11.139,0.0,,,,
19,06/27/18 08:00:00 AM,11.528,0.0,,,,
20,06/27/18 09:00:00 AM,12.980,21.5,,,,
21,06/27/18 10:00:00 AM,12.787,871.9,,,,
22,06/27/18 11:00:00 AM,13.173,12400.1,,,,
23,06/27/18 12:00:00 PM,16.332,13089.0,,,,
24,06/27/18 01:00:00 PM,15.951,11022.3,,,,
25,06/27/18 02:00:00 PM,17.094,11711.2,,,,
26,06/27/18 03:00:00 PM,19.092,19289.0,,,,
27,06/27/18 04:00:00 PM,18.806,6544.5,,,,
28,06/27/18 05:00:00 PM,17.284,5511.1,,,,
29,06/27/18 06:00:00 PM,14.900,3788.9,,,,
30,06/27/18 07:00:00 PM,13.942,2927.8,,,,
31,06/27/18 08:00:00 PM,12.110,1356.3,,,,
32,06/27/18 09:00:00 PM,10.259,226.0,,,,
33,06/27/18 10:00:00 PM,8.779,0.0,,,,
34,06/27/18 11:00:00 PM,8.182,0.0,,,,
35,06/28/18 12:00:00 AM,6.166,0.0,,,,
36,06/28/18 01:00:00 AM,5.037,0.0,,,,
37,06/28/18 02:00:00 AM,4.415,0.0,,,,
38,06/28/18 03:00:00 AM,3.893,0.0,,,,
39,06/28/18 04:00:00 AM,4.519,0.0,,,,
40,06/28/18 05:00:00 AM,5.962,32.3,,,,
41,06/28/18 06:00:00 AM,6.573,183.0,,,,
42,06/28/18 07:00:00 AM,6.064,753.5,,,,
43,06/28/18 08:00:00 AM,6.978,1291.7,,,,
44,06/28/18 09:00:00 AM,7.481,1463.9,,,,
45,06/28/18 10:00:00 AM,7.582,1227.1,,,,
46,06/28/18 11:00:00 AM,8.182,2497.2,,,,
47,06/28/18 12:00:00 PM,9.373,1808.3,,,,
48,06/28/18 01:00:00 PM,9.571,3616.7,,,,
49,06/28/18 02:00:00 PM,12.401,11711.2,,,,
50,06/28/18 03:00:00 PM,11.625,4994.5,,,,
51,06/28/18 04:00:00 PM,11.236,5166.7,,,,
52,06/28/18 05:00:00 PM,13.461,10333.4,,,,
53,06/28/18 06:00:00 PM,13.558,5166.7,,,,
54,06/28/18 07:00:00 PM,10.748,2583.4,,,,
55,06/28/18 08:00:00 PM,8.680,861.1,,,,
56,06/28/18 09:00:00 PM,7.582,193.8,,,,
57,06/28/18 10:00:00 PM,6.674,0.0,,,,
58,06/28/18 11:00:00 PM,6.573,0.0,,,,
59,06/29/18 12:00:00 AM,6.471,0.0,,,,
60,06/29/18 01:00:00 AM,6.471,0.0,,,,
61,06/29/18 02:00:00 AM,6.370,0.0,,,,
62,06/29/18 03:00:00 AM,6.370,0.0,,,,
63,06/29/18 04:00:00 AM,6.573,0.0,,,,
64,06/29/18 05:00:00 AM,6.471,10.8,,,,
65,06/29/18 06:00:00 AM,6.775,990.3,,,,
66,06/29/18 07:00:00 AM,7.179,1550.0,,,,
67,06/29/18 08:00:00 AM,8.978,4650.0,,,,
68,06/29/18 09:00:00 AM,10.748,5166.7,,,,
69,06/29/18 10:00:00 AM,11.722,7577.8,,,,
70,06/29/18 11:00:00 AM,13.942,7233.4,,,,
71,06/29/18 12:00:00 PM,12.690,5166.7,,,,
72,06/29/18 01:00:00 PM,15.187,8611.2,,,,
73,06/29/18 02:00:00 PM,15.091,11022.3,,,,
74,06/29/18 03:00:00 PM,17.284,10333.4,,,,
75,06/29/18 04:00:00 PM,16.808,11022.3,,,,
76,06/29/18 05:00:00 PM,14.421,11022.3,,,,
77,06/29/18 06:00:00 PM,12.980,2583.4,,,,
78,06/29/18 07:00:00 PM,11.916,3100.0,,,,
79,06/29/18 08:00:00 PM,10.944,505.9,,,,
80,06/29/18 09:00:00 PM,10.259,86.1,,,,
81,06/29/18 10:00:00 PM,9.472,0.0,,,,
82,06/29/18 11:00:00 PM,8.481,0.0,,,,
83,06/30/18 12:00:00 AM,6.268,0.0,,,,
84,06/30/18 01:00:00 AM,5.347,0.0,,,,
85,06/30/18 02:00:00 AM,6.674,0.0,,,,
86,06/30/18 03:00:00 AM,6.674,0.0,,,,
87,06/30/18 04:00:00 AM,7.079,0.0,,,,
88,06/30/18 05:00:00 AM,7.381,0.0,,,,
89,06/30/18 06:00:00 AM,7.682,559.7,,,,
90,06/30/18 07:00:00 AM,8.680,1065.6,,,,
91,06/30/18 08:00:00 AM,9.472,3616.7,,,,
92,06/30/18 09:00:00 AM,11.041,3444.5,,,,
93,06/30/18 10:00:00 AM,12.110,7577.8,,,,
94,06/30/18 11:00:00 AM,11.819,3788.9,,,,
95,06/30/18 12:00:00 PM,11.334,2152.8,,,,
96,06/30/18 01:00:00 PM,11.041,1894.5,,,,
97,06/30/18 02:00:00 PM,10.063,4650.0,,,,
98,06/30/18 03:00:00 PM,11.722,7577.8,,,,
99,06/30/18 04:00:00 PM,12.690,4994.5,,,,
100,06/30/18 05:00:00 PM,12.883,4994.5,,,,
101,06/30/18 06:00:00 PM,12.207,2497.2,,,,
102,06/30/18 07:00:00 PM,10.748,1097.9,,,,
103,06/30/18 08:00:00 PM,9.768,828.8,,,,
104,06/30/18 09:00:00 PM,8.779,430.6,,,,
105,06/30/18 10:00:00 PM,7.882,0.0,,,,
106,06/30/18 11:00:00 PM,8.082,0.0,,,,
107,07/01/18 12:00:00 AM,7.381,0.0,,,,
108,07/01/18 01:00:00 AM,6.877,0.0,,,,
109,07/01/18 02:00:00 AM,7.481,0.0,,,,
110,07/01/18 03:00:00 AM,7.179,0.0,,,,
111,07/01/18 04:00:00 AM,6.877,0.0,,,,
112,07/01/18 05:00:00 AM,4.831,53.8,,,,
113,07/01/18 06:00:00 AM,6.877,1011.8,,,,
114,07/01/18 07:00:00 AM,8.382,1636.1,,,,
115,07/01/18 08:00:00 AM,9.373,3444.5,,,,
116,07/01/18 09:00:00 AM,10.455,3788.9,,,,
117,07/01/18 10:00:00 AM,11.916,5511.1,,,,
118,07/01/18 11:00:00 AM,11.334,5511.1,,,,
119,07/01/18 12:00:00 PM,13.942,7233.4,,,,
120,07/01/18 01:00:00 PM,12.594,8266.7,,,,
121,07/01/18 02:00:00 PM,16.427,20666.8,,,,
122,07/01/18 03:00:00 PM,15.282,17222.3,,,,
123,07/01/18 04:00:00 PM,15.473,5511.1,,,,
124,07/01/18 05:00:00 PM,10.944,2755.6,,,,
125,07/01/18 06:00:00 PM,10.748,2669.5,,,,
126,07/01/18 07:00:00 PM,9.472,1550.0,,,,
127,07/01/18 08:00:00 PM,9.077,1248.6,,,,
128,07/01/18 09:00:00 PM,7.782,75.3,,,,
129,07/01/18 10:00:00 PM,6.573,0.0,,,,
130,07/01/18 11:00:00 PM,7.280,0.0,,,,
131,07/02/18 12:00:00 AM,7.079,0.0,,,,
132,07/02/18 01:00:00 AM,5.962,0.0,,,,
133,07/02/18 02:00:00 AM,5.141,0.0,,,,
134,07/02/18 03:00:00 AM,4.831,0.0,,,,
135,07/02/18 04:00:00 AM,3.472,0.0,,,,
136,07/02/18 05:00:00 AM,3.578,0.0,,,,
137,07/02/18 06:00:00 AM,3.472,193.8,,,,
138,07/02/18 07:00:00 AM,3.893,1022.6,,,,
139,07/02/18 08:00:00 AM,4.519,1550.0,,,,
140,07/02/18 09:00:00 AM,3.683,516.7,,,,
141,07/02/18 10:00:00 AM,3.998,2152.8,,,,
142,07/02/18 11:00:00 AM,4.207,1097.9,,,,
143,07/02/18 12:00:00 PM,5.037,2669.5,,,,
144,07/02/18 01:00:00 PM,5.962,2927.8,,,,
145,07/02/18 02:00:00 PM,7.381,4477.8,,,,
146,07/02/18 03:00:00 PM,8.182,14466.8,,,,
147,07/02/18 04:00:00 PM,8.978,3100.0,,,,
148,07/02/18 05:00:00 PM,7.782,7233.4,,,,
149,07/02/18 06:00:00 PM,6.674,1463.9,,,,
150,07/02/18 07:00:00 PM,6.471,2411.1,,,,
151,07/02/18 08:00:00 PM,6.064,107.6,,,,
152,07/02/18 09:00:00 PM,5.552,86.1,,,,
153,07/02/18 10:00:00 PM,5.347,0.0,,,,
154,07/02/18 11:00:00 PM,5.552,0.0,,,,
155,07/03/18 12:00:00 AM,5.552,0.0,,,,
156,07/03/18 01:00:00 AM,5.655,0.0,,,,
157,07/03/18 02:00:00 AM,5.757,0.0,,,,
158,07/03/18 03:00:00 AM,5.757,0.0,,,,
159,07/03/18 04:00:00 AM,5.757,0.0,,,,
160,07/03/18 05:00:00 AM,5.655,21.5,,,,
161,07/03/18 06:00:00 AM,5.962,301.4,,,,
162,07/03/18 07:00:00 AM,6.268,1097.9,,,,
163,07/03/18 08:00:00 AM,6.978,1808.3,,,,
