"Plot Title: 20400744"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400744, SEN S/N: 20400744)","Intensity, Lux (LGR S/N: 20400744, SEN S/N: 20400744)","Coupler Attached (LGR S/N: 20400744)","Coupler Detached (LGR S/N: 20400744)","Host Connected (LGR S/N: 20400744)","Stopped (LGR S/N: 20400744)","End Of File (LGR S/N: 20400744)"
1,06/26/18 02:00:00 PM,22.717,0.0,,,,,
2,06/26/18 03:00:00 PM,20.805,10.8,,,,,
3,06/26/18 04:00:00 PM,20.901,64.6,,,,,
4,06/26/18 04:04:49 PM,,,Logged,,,,
5,06/26/18 04:05:15 PM,,,,Logged,,,
6,06/26/18 04:07:09 PM,,,Logged,,,,
7,06/26/18 04:07:49 PM,,,,Logged,,,
8,06/26/18 04:07:52 PM,,,Logged,,,,
9,06/26/18 04:07:53 PM,,,,Logged,,,
10,06/26/18 05:00:00 PM,17.570,32.3,,,,,
11,06/26/18 06:00:00 PM,17.760,75.3,,,,,
12,06/26/18 07:00:00 PM,20.329,21.5,,,,,
13,06/26/18 08:00:00 PM,22.333,32.3,,,,,
14,06/26/18 09:00:00 PM,22.812,0.0,,,,,
15,06/26/18 10:00:00 PM,21.760,0.0,,,,,
16,06/26/18 11:00:00 PM,20.234,0.0,,,,,
17,06/27/18 12:00:00 AM,18.711,0.0,,,,,
18,06/27/18 01:00:00 AM,17.379,0.0,,,,,
19,06/27/18 02:00:00 AM,16.141,0.0,,,,,
20,06/27/18 03:00:00 AM,14.996,0.0,,,,,
21,06/27/18 04:00:00 AM,13.942,0.0,,,,,
22,06/27/18 05:00:00 AM,12.980,0.0,,,,,
23,06/27/18 06:00:00 AM,12.110,0.0,,,,,
24,06/27/18 07:00:00 AM,11.625,0.0,,,,,
25,06/27/18 08:00:00 AM,11.819,0.0,,,,,
26,06/27/18 09:00:00 AM,13.269,172.2,,,,,
27,06/27/18 10:00:00 AM,12.787,839.6,,,,,
28,06/27/18 11:00:00 AM,7.481,333.7,,,,,
29,06/27/18 12:00:00 PM,8.082,624.3,,,,,
30,06/27/18 01:00:00 PM,8.082,409.0,,,,,
31,06/27/18 02:00:00 PM,8.382,441.3,,,,,
32,06/27/18 03:00:00 PM,8.481,473.6,,,,,
33,06/27/18 04:00:00 PM,8.680,215.3,,,,,
34,06/27/18 05:00:00 PM,8.680,150.7,,,,,
