"Plot Title: 20400734"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400734, SEN S/N: 20400734)","Intensity, Lux (LGR S/N: 20400734, SEN S/N: 20400734)","Coupler Attached (LGR S/N: 20400734)","Coupler Detached (LGR S/N: 20400734)","Host Connected (LGR S/N: 20400734)","Stopped (LGR S/N: 20400734)","End Of File (LGR S/N: 20400734)"
1,06/26/18 02:00:00 PM,23.581,0.0,,,,,
2,06/26/18 03:00:00 PM,20.424,290.6,,,,,
3,06/26/18 04:00:00 PM,20.901,290.6,,,,,
4,06/26/18 04:04:50 PM,,,Logged,,,,
5,06/26/18 04:07:04 PM,,,,Logged,,,
6,06/26/18 05:00:00 PM,16.903,0.0,,,,,
7,06/26/18 06:00:00 PM,18.236,43.1,,,,,
8,06/26/18 07:00:00 PM,22.046,0.0,,,,,
9,06/26/18 08:00:00 PM,23.581,0.0,,,,,
10,06/26/18 09:00:00 PM,23.388,0.0,,,,,
11,06/26/18 10:00:00 PM,21.664,0.0,,,,,
12,06/26/18 11:00:00 PM,19.948,0.0,,,,,
13,06/27/18 12:00:00 AM,18.236,0.0,,,,,
14,06/27/18 01:00:00 AM,16.808,0.0,,,,,
15,06/27/18 02:00:00 AM,15.569,0.0,,,,,
16,06/27/18 03:00:00 AM,14.421,0.0,,,,,
17,06/27/18 04:00:00 AM,13.365,0.0,,,,,
18,06/27/18 05:00:00 AM,12.401,0.0,,,,,
19,06/27/18 06:00:00 AM,11.625,0.0,,,,,
20,06/27/18 07:00:00 AM,11.334,0.0,,,,,
21,06/27/18 08:00:00 AM,12.013,0.0,,,,,
22,06/27/18 09:00:00 AM,13.846,43.1,,,,,
23,06/27/18 09:18:06 AM,,,Logged,,,,
24,06/27/18 09:18:28 AM,,,,Logged,,,
25,06/27/18 09:18:30 AM,,,Logged,,,,
26,06/27/18 09:18:31 AM,,,,Logged,,,
27,06/27/18 10:00:00 AM,12.013,53.8,,,,,
28,06/27/18 11:00:00 AM,11.916,0.0,,,,,
29,06/27/18 12:00:00 PM,17.665,1980.6,,,,,
30,06/27/18 01:00:00 PM,20.043,52355.9,,,,,
31,06/27/18 02:00:00 PM,21.855,82667.2,,,,,
32,06/27/18 03:00:00 PM,19.472,42711.4,,,,,
33,06/27/18 04:00:00 PM,18.996,34444.7,,,,,
34,06/27/18 05:00:00 PM,19.758,44089.2,,,,,
35,06/27/18 06:00:00 PM,19.282,38578.0,,,,,
36,06/27/18 07:00:00 PM,18.711,132267.5,,,,,
37,06/27/18 08:00:00 PM,11.139,8611.2,,,,,
38,06/27/18 09:00:00 PM,8.382,2325.0,,,,,
39,06/27/18 10:00:00 PM,6.471,0.0,,,,,
40,06/27/18 11:00:00 PM,5.552,0.0,,,,,
41,06/28/18 12:00:00 AM,4.934,0.0,,,,,
42,06/28/18 01:00:00 AM,4.102,0.0,,,,,
43,06/28/18 02:00:00 AM,3.472,0.0,,,,,
44,06/28/18 03:00:00 AM,2.517,0.0,,,,,
45,06/28/18 04:00:00 AM,1.439,0.0,,,,,
46,06/28/18 05:00:00 AM,3.998,172.2,,,,,
47,06/28/18 06:00:00 AM,5.141,1237.9,,,,,
48,06/28/18 07:00:00 AM,4.623,3444.5,,,,,
49,06/28/18 08:00:00 AM,5.552,5511.1,,,,,
50,06/28/18 09:00:00 AM,5.757,4994.5,,,,,
51,06/28/18 10:00:00 AM,5.962,4822.3,,,,,
52,06/28/18 11:00:00 AM,7.280,9644.5,,,,,
53,06/28/18 12:00:00 PM,9.373,17222.3,,,,,
54,06/28/18 01:00:00 PM,9.472,18600.1,,,,,
55,06/28/18 02:00:00 PM,16.427,88178.4,,,,,
56,06/28/18 03:00:00 PM,13.654,37200.2,,,,,
57,06/28/18 04:00:00 PM,13.076,33066.9,,,,,
58,06/28/18 05:00:00 PM,14.230,52355.9,,,,,
59,06/28/18 06:00:00 PM,13.076,42711.4,,,,,
60,06/28/18 07:00:00 PM,9.176,12400.1,,,,,
61,06/28/18 08:00:00 PM,7.481,7233.4,,,,,
62,06/28/18 09:00:00 PM,5.552,1044.1,,,,,
63,06/28/18 10:00:00 PM,4.415,0.0,,,,,
64,06/28/18 11:00:00 PM,4.934,0.0,,,,,
65,06/29/18 12:00:00 AM,4.831,0.0,,,,,
66,06/29/18 01:00:00 AM,4.727,0.0,,,,,
67,06/29/18 02:00:00 AM,4.727,0.0,,,,,
68,06/29/18 03:00:00 AM,4.727,0.0,,,,,
69,06/29/18 04:00:00 AM,4.727,0.0,,,,,
70,06/29/18 05:00:00 AM,4.831,139.9,,,,,
71,06/29/18 06:00:00 AM,5.244,2669.5,,,,,
72,06/29/18 07:00:00 AM,6.573,8611.2,,,,,
73,06/29/18 08:00:00 AM,9.176,17222.3,,,,,
74,06/29/18 09:00:00 AM,14.038,30311.3,,,,,
75,06/29/18 10:00:00 AM,15.187,41333.6,,,,,
76,06/29/18 11:00:00 AM,19.472,46844.8,,,,,
77,06/29/18 12:00:00 PM,14.804,30311.3,,,,,
78,06/29/18 01:00:00 PM,17.284,46844.8,,,,,
79,06/29/18 02:00:00 PM,15.664,42711.4,,,,,
80,06/29/18 03:00:00 PM,18.426,52355.9,,,,,
81,06/29/18 04:00:00 PM,15.569,39955.8,,,,,
82,06/29/18 05:00:00 PM,15.760,39955.8,,,,,
83,06/29/18 06:00:00 PM,16.237,23422.4,,,,,
84,06/29/18 07:00:00 PM,10.748,9644.5,,,,,
85,06/29/18 08:00:00 PM,8.978,1894.5,,,,,
86,06/29/18 09:00:00 PM,8.282,333.7,,,,,
87,06/29/18 10:00:00 PM,7.582,0.0,,,,,
88,06/29/18 11:00:00 PM,5.450,0.0,,,,,
89,06/30/18 12:00:00 AM,4.623,0.0,,,,,
90,06/30/18 01:00:00 AM,2.303,0.0,,,,,
91,06/30/18 02:00:00 AM,5.141,0.0,,,,,
92,06/30/18 03:00:00 AM,5.757,0.0,,,,,
93,06/30/18 04:00:00 AM,6.268,0.0,,,,,
94,06/30/18 05:00:00 AM,6.268,53.8,,,,,
95,06/30/18 06:00:00 AM,6.978,2669.5,,,,,
96,06/30/18 07:00:00 AM,7.782,4305.6,,,,,
97,06/30/18 08:00:00 AM,9.275,15844.5,,,,,
98,06/30/18 09:00:00 AM,11.334,23422.4,,,,,
99,06/30/18 10:00:00 AM,11.625,18600.1,,,,,
100,06/30/18 11:00:00 AM,13.269,27555.7,,,,,
101,06/30/18 12:00:00 PM,11.334,7577.8,,,,,
102,06/30/18 01:00:00 PM,12.497,21355.7,,,,,
103,06/30/18 02:00:00 PM,10.357,13089.0,,,,,
104,06/30/18 03:00:00 PM,9.866,10677.8,,,,,
105,06/30/18 04:00:00 PM,13.365,31689.1,,,,,
106,06/30/18 05:00:00 PM,16.046,55111.5,,,,,
107,06/30/18 06:00:00 PM,19.092,242490.5,,,,,
108,06/30/18 07:00:00 PM,22.908,198401.3,,,,,
109,06/30/18 08:00:00 PM,9.077,8266.7,,,,,
110,06/30/18 09:00:00 PM,6.268,968.8,,,,,
111,06/30/18 10:00:00 PM,6.166,0.0,,,,,
112,06/30/18 11:00:00 PM,6.166,0.0,,,,,
113,07/01/18 12:00:00 AM,5.655,0.0,,,,,
114,07/01/18 01:00:00 AM,5.347,0.0,,,,,
115,07/01/18 02:00:00 AM,5.860,0.0,,,,,
116,07/01/18 03:00:00 AM,5.757,0.0,,,,,
117,07/01/18 04:00:00 AM,5.552,0.0,,,,,
118,07/01/18 05:00:00 AM,3.683,419.8,,,,,
119,07/01/18 06:00:00 AM,6.370,2927.8,,,,,
120,07/01/18 07:00:00 AM,7.882,6200.0,,,,,
121,07/01/18 08:00:00 AM,9.275,14466.8,,,,,
122,07/01/18 09:00:00 AM,10.063,14466.8,,,,,
123,07/01/18 10:00:00 AM,14.325,30311.3,,,,,
124,07/01/18 11:00:00 AM,12.304,22044.6,,,,,
125,07/01/18 12:00:00 PM,13.942,28933.5,,,,,
126,07/01/18 01:00:00 PM,12.497,20666.8,,,,,
127,07/01/18 02:00:00 PM,14.900,34444.7,,,,,
128,07/01/18 03:00:00 PM,14.900,55111.5,,,,,
129,07/01/18 04:00:00 PM,15.664,35822.5,,,,,
130,07/01/18 05:00:00 PM,16.523,46844.8,,,,,
131,07/01/18 06:00:00 PM,10.259,16533.4,,,,,
132,07/01/18 07:00:00 PM,22.908,198401.3,,,,,
133,07/01/18 08:00:00 PM,8.978,10677.8,,,,,
134,07/01/18 09:00:00 PM,5.450,914.9,,,,,
135,07/01/18 10:00:00 PM,5.037,0.0,,,,,
136,07/01/18 11:00:00 PM,4.831,0.0,,,,,
137,07/02/18 12:00:00 AM,5.244,0.0,,,,,
138,07/02/18 01:00:00 AM,4.623,0.0,,,,,
139,07/02/18 02:00:00 AM,3.367,0.0,,,,,
140,07/02/18 03:00:00 AM,3.049,0.0,,,,,
