"Plot Title: 20400751"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400751, SEN S/N: 20400751)","Intensity, Lux (LGR S/N: 20400751, SEN S/N: 20400751)","Host Connected (LGR S/N: 20400751)","Coupler Attached (LGR S/N: 20400751)","Stopped (LGR S/N: 20400751)","End Of File (LGR S/N: 20400751)"
1,06/26/18 02:00:00 PM,22.046,0.0,,,,
2,06/26/18 03:00:00 PM,20.901,452.1,,,,
3,06/26/18 04:00:00 PM,20.805,1044.1,,,,
4,06/26/18 05:00:00 PM,13.654,4822.3,,,,
5,06/26/18 06:00:00 PM,11.139,3100.0,,,,
6,06/26/18 07:00:00 PM,9.373,1184.0,,,,
7,06/26/18 08:00:00 PM,7.782,495.1,,,,
8,06/26/18 09:00:00 PM,5.141,53.8,,,,
9,06/26/18 10:00:00 PM,3.998,0.0,,,,
10,06/26/18 11:00:00 PM,2.303,0.0,,,,
11,06/27/18 12:00:00 AM,1.656,0.0,,,,
12,06/27/18 01:00:00 AM,2.088,0.0,,,,
13,06/27/18 02:00:00 AM,2.303,0.0,,,,
14,06/27/18 03:00:00 AM,1.221,0.0,,,,
15,06/27/18 04:00:00 AM,2.088,0.0,,,,
16,06/27/18 05:00:00 AM,2.410,43.1,,,,
17,06/27/18 06:00:00 AM,3.578,753.5,,,,
18,06/27/18 07:00:00 AM,5.962,2066.7,,,,
19,06/27/18 08:00:00 AM,7.682,2755.6,,,,
20,06/27/18 09:00:00 AM,10.063,5166.7,,,,
21,06/27/18 10:00:00 AM,12.883,7577.8,,,,
22,06/27/18 11:00:00 AM,15.282,15844.5,,,,
23,06/27/18 12:00:00 PM,17.570,12400.1,,,,
24,06/27/18 01:00:00 PM,18.521,11022.3,,,,
25,06/27/18 02:00:00 PM,16.999,8611.2,,,,
26,06/27/18 03:00:00 PM,17.475,10677.8,,,,
27,06/27/18 04:00:00 PM,17.284,6200.0,,,,
28,06/27/18 05:00:00 PM,16.141,4477.8,,,,
29,06/27/18 06:00:00 PM,14.325,4477.8,,,,
30,06/27/18 07:00:00 PM,13.076,1463.9,,,,
31,06/27/18 08:00:00 PM,11.431,710.4,,,,
32,06/27/18 09:00:00 PM,9.077,129.2,,,,
33,06/27/18 10:00:00 PM,6.573,0.0,,,,
34,06/27/18 11:00:00 PM,5.244,0.0,,,,
35,06/28/18 12:00:00 AM,4.311,0.0,,,,
36,06/28/18 01:00:00 AM,4.311,0.0,,,,
37,06/28/18 02:00:00 AM,4.207,0.0,,,,
38,06/28/18 03:00:00 AM,3.578,0.0,,,,
39,06/28/18 04:00:00 AM,3.367,0.0,,,,
40,06/28/18 05:00:00 AM,5.037,0.0,,,,
41,06/28/18 06:00:00 AM,5.450,236.8,,,,
